ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,88AB000898,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,02/09/1988 16:30:00,10451,745,RESIDUE FILTERABLE,,250,mg/L,,,,,,404,10,0
ABS001,88AB000899,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,03/08/1988 16:00:00,10401,749,RESIDUE NONFILTERABLE,,6.4,mg/L,,,,,,396,10,0
ABS001,88AB000899,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,03/08/1988 16:00:00,10451,745,RESIDUE FILTERABLE,,230,mg/L,,,,,,404,10,0
ABS001,93AB000564,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/19/1993 10:45:00,10401,749,RESIDUE NONFILTERABLE,,45,mg/L,,,,,,396,10,0
ABS001,93AB000574,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/14/1993 13:30:00,10401,749,RESIDUE NONFILTERABLE,L,0.4,mg/L,,,,,,396,10,0
ABS001,93AB000574,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/14/1993 13:30:00,10451,745,RESIDUE FILTERABLE,,235,mg/L,,,,,,404,10,0
ABS001,95AB000546,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,04/27/1995 11:00:00,10401,749,RESIDUE NONFILTERABLE,,5,mg/L,,,,,,396,10,0
ABS001,95AB000546,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,04/27/1995 11:00:00,10451,745,RESIDUE FILTERABLE,,188,mg/L,,,,,,404,10,0
ABS001,95AB000547,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/18/1995 11:15:00,10401,749,RESIDUE NONFILTERABLE,,182,mg/L,,,,,,396,10,0
ABS001,95AB000547,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/18/1995 11:15:00,10451,745,RESIDUE FILTERABLE,,212,mg/L,,,,,,404,10,0
ABS001,95AB000550,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/21/1995 13:45:00,10401,749,RESIDUE NONFILTERABLE,,182,mg/L,,,,,,396,10,0
ABS001,95AB000550,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/21/1995 13:45:00,10401,749,RESIDUE NONFILTERABLE,,9,mg/L,,,,,,396,10,
ABS001,95AB000550,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/21/1995 13:45:00,10451,745,RESIDUE FILTERABLE,,186,mg/L,,,,,,404,10,0
ABS001,95AB000550,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/21/1995 13:45:00,10451,745,RESIDUE FILTERABLE,,233,mg/L,,,,,,404,10,
ABS001,95AB000554,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/15/1995 08:45:00,10401,749,RESIDUE NONFILTERABLE,,23,mg/L,,,,,,396,10,0
ABS001,95AB000557,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/15/1995 08:50:00,10401,749,RESIDUE NONFILTERABLE,,35,mg/L,,,,,,396,10,0
ABS001,95AB000557,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/15/1995 08:50:00,10451,745,RESIDUE FILTERABLE,,176,mg/L,,,,,,404,10,0
ABS001,95AB000558,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1995 09:00:00,10401,749,RESIDUE NONFILTERABLE,,153,mg/L,,,,,,396,10,0
ABS001,95AB000559,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1995 11:00:00,10401,749,RESIDUE NONFILTERABLE,,115,mg/L,,,,,,396,10,0
ABS001,95AB000560,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1995 13:00:00,10401,749,RESIDUE NONFILTERABLE,,97,mg/L,,,,,,396,10,0
ABS001,95AB000561,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1995 15:00:00,10401,749,RESIDUE NONFILTERABLE,,150,mg/L,,,,,,396,10,0
ABS001,95AB000562,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1995 17:00:00,10401,749,RESIDUE NONFILTERABLE,,160,mg/L,,,,,,396,10,0
ABS001,95AB000563,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1995 19:00:00,10401,749,RESIDUE NONFILTERABLE,,118,mg/L,,,,,,396,10,0
ABS001,95AB000564,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/08/1995 11:00:00,10401,749,RESIDUE NONFILTERABLE,,44,mg/L,,,,,,396,10,0
ABS001,95AB000565,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/08/1995 13:00:00,10401,749,RESIDUE NONFILTERABLE,,43,mg/L,,,,,,396,10,0
